id,count,selected_datetime,polygon
2019-10-02 11:08:31,353,2019-10-02 11:08:31,"POLYGON ((-86.78604610178662 36.15170514829094, -86.76812189821338 36.15170514829094, -86.76812189821338 36.16617685170906, -86.78604610178662 36.16617685170906, -86.78604610178662 36.15170514829094))"
2019-10-02 11:08:31,343,2019-10-02 11:08:31,"POLYGON ((-86.78625612247659 36.15188614829093, -86.76833187752341 36.15188614829093, -86.76833187752341 36.16635785170907, -86.78625612247659 36.16635785170907, -86.78625612247659 36.15188614829093))"
